,TLabel,Tweet text processed,Unnamed: 0,Unnamed: 0.1,ZLabel,cashtags,conversation_id,created_at,date,day,geo,has_media,hashtags,hour,id,img_urls,is_replied,is_reply_to,likes,link,links,name,near,nlikes,nreplies,nretweets,parent_tweet_id,place,quote_url,replies,reply_to,reply_to_users,retweet,retweet_date,retweet_id,retweets,screen_name,search,source,text,text_html,timestamp,timestamp_epochs,timezone,trans_dest,trans_src,translate,tweet,tweet_id,tweet_url,user_id,user_id_str,user_rt,user_rt_id,username,video_url,tweet_processed,pred,pred_raw
49,-1.0,installing smog tower would be waste of money: environmentalists to sc #urbanupdate #news #environment #smogtower #smog #airpollution #delhi #delhipollution read more about it at: …,586.0,653.0,-1,[],1.2e+18,1575287686000.0,2019-12-02 11:54:46,1.0,,,"['#urbanupdate', '#news', '#environment', '#smogtower', '#smog', '#airpollution', '#delhi', '#delhipollution']",11.0,1.2e+18,,,,,https://twitter.com/urbanupdatemgzn/status/1201469756710064128,,Urban Update,,0.0,0.0,0.0,,,,,"[{'user_id': '754960219478888448', 'username': 'urbanupdatemgzn'}]",,False,,,,,smog tower,,,,,,UTC,,,,"Installing smog tower would be waste of money: environmentalists to SC
#UrbanUpdate #News #Environment #Smogtower #Smog #AirPollution #Delhi #DelhiPollution 

Read more about it at:
 http://urbanupdate.in/installing-smog-tower-would-be-waste-of-money-environmentalists-to-sc/ …",,,754960219478888448,7.55e+17,,,urbanupdatemgzn,,installing smog tower would be waste of money: environmentalists to sc #urbanupdate #news #environment #smogtower #smog #airpollution #delhi #delhipollution read more about it at: …,-1,0.8452203869819641
50,-1.0,"delhi now has an ‘anti-smog tower’ but it’s not the solution to air pollution, say experts",281.0,293.0,-1,[],1.22e+18,1578534893000.0,2020-01-09 1:54:53,4.0,,,[],1.0,1.22e+18,,,,,https://twitter.com/NextTechWhat/status/1215089527871746048,,Next Tech What,,0.0,0.0,0.0,,,,,"[{'user_id': '879630529011695618', 'username': 'NextTechWhat'}]",,False,,,,,smog tower,,,,,,UTC,,,,"Delhi Now Has An ‘Anti-Smog Tower’ But It’s Not The Solution To Air Pollution, Say Experts  https://goo.gl/fb/q8dX9k ",,,879630529011695618,8.8e+17,,,NextTechWhat,,"delhi now has an ‘anti-smog tower’ but it’s not the solution to air pollution, say experts",-1,0.8429993391036987
56,-1.0,"in jan a smog tower was installed in lajpat nagar, delhi. our analysis find that its influence area would be limited within a 50-m radius. #delhiairpollution #mission808080 watch the video 👇 …",22.0,24.0,-1,[],1.23e+18,1582437180000.0,2020-02-23 5:53:00,7.0,,,"['#delhiairpollution', '#mission808080']",5.0,1.23e+18,,,,,https://twitter.com/CEEWIndia/status/1231456905186308096,,CEEW,,6.0,0.0,0.0,,,https://twitter.com/CEEWIndia/status/1229370393657430017,,"[{'user_id': '310996905', 'username': 'CEEWIndia'}]",,False,,,,,smog tower,,,,,,UTC,,,,"In Jan a smog tower was installed in Lajpat Nagar, Delhi. Our analysis find that its influence area would be limited within a 50-m radius.
#Delhiairpollution #Mission808080

Watch the video 👇 https://twitter.com/CEEWIndia/status/1229370393657430017?s=20 …",,,310996905,310996905.0,,,CEEWIndia,,"in jan a smog tower was installed in lajpat nagar, delhi. our analysis find that its influence area would be limited within a 50-m radius. #delhiairpollution #mission808080 watch the video 👇 …",-1,0.8120908141136169
57,-1.0,pilot smog tower coming up in delhi installation cost ~ rs 13 crore operating cost (for 2 years) ~ rs 7-8 crore air purified per hour ~ 0.00007% of the total air impact felt in ~ 1km worth it? #airpollutioninindia …,589.0,656.0,-1,[],1.2e+18,1575130169000.0,2019-11-30 16:09:29,6.0,,,['#airpollutioninindia'],16.0,1.2e+18,,,,,https://twitter.com/PollutionTales/status/1200809081553833985,,PAAP In India,,0.0,1.0,0.0,,,,,"[{'user_id': '1081559290899505153', 'username': 'PollutionTales'}]",,False,,,,,smog tower,,,,,,UTC,,,,"Pilot Smog Tower coming up in Delhi

Installation Cost ~ Rs 13 crore

Operating Cost (for 2 years) ~ Rs 7-8 crore

Air purified per hour ~ 0.00007% of the total air

Impact felt in ~ 1km

Worth it? 

#AirPollutionInIndia https://www.hindustantimes.com/cities/experts-write-to-sc-against-installation-of-smog-towers/story-Tx4nbJxxkRNKGZrPbAnRoM.html …",,,1081559290899505153,1.08e+18,,,PollutionTales,,pilot smog tower coming up in delhi installation cost ~ rs 13 crore operating cost (for 2 years) ~ rs 7-8 crore air purified per hour ~ 0.00007% of the total air impact felt in ~ 1km worth it? #airpollutioninindia …,0,0.919190526008606
67,-1.0,our analysis found that the impact of a smog tower is limited within a 50-m radius. smog towers are not the answer to #delhiairpollution. #mission808080 watch the video 👇 …,36.0,39.0,-1,[],1.23e+18,1582000151000.0,2020-02-18 4:29:11,2.0,,,"['#delhiairpollution', '#mission808080']",4.0,1.23e+18,,,,,https://twitter.com/CEEWIndia/status/1229623872627937281,,CEEW,,1.0,1.0,0.0,,,https://twitter.com/CEEWIndia/status/1229370393657430017,,"[{'user_id': '310996905', 'username': 'CEEWIndia'}, {'user_id': '951833706', 'username': 'AapKaGopalRai'}, {'user_id': '30417501', 'username': 'msisodia'}, {'user_id': '361301678', 'username': 'AtishiAAP'}, {'user_id': '207457144', 'username': 'suraiya95'}, {'user_id': '362506755', 'username': 'SatyendarJain'}, {'user_id': '2475514591', 'username': 'AdvRajendraPal'}]",,False,,,,,smog tower,,,,,,UTC,,,,"Our analysis found that the impact of a smog tower is limited within a 50-m radius. Smog towers are not the answer to #Delhiairpollution.
@AapKaGopalRai @msisodia @AtishiAAP @suraiya95 @SatyendarJain @AdvRajendraPal
#Mission808080
Watch the video 👇 https://twitter.com/CEEWIndia/status/1229370393657430017?s=20 …",,,310996905,310996905.0,,,CEEWIndia,,our analysis found that the impact of a smog tower is limited within a 50-m radius. smog towers are not the answer to #delhiairpollution. #mission808080 watch the video 👇 …,-1,0.8713181614875793
70,-1.0,"cleanup air needs cleanup ground. lets hope it is spent appropriately on improving network of footpaths & cycle-lanes,instead on installation of smog tower. isn’t it taught us in school that prevention is better than cure 🤔 #walkablecities #delhipollution #trafficcongestion …",11.0,11.0,-1,[],1.24e+18,1583954173000.0,2020-03-11 19:16:13,3.0,,,"['#walkablecities', '#delhipollution', '#trafficcongestion']",19.0,1.24e+18,,,,,https://twitter.com/nitinpanigrahi/status/1237819637787582464,,nitin panigrahi,,3.0,0.0,0.0,,,https://twitter.com/urbansciencesIN/status/1237565225525637122,,"[{'user_id': '60339937', 'username': 'nitinpanigrahi'}]",,False,,,,,smog tower,,,,,,UTC,,,,"Cleanup Air needs Cleanup Ground.

Lets hope it is spent appropriately on improving network of footpaths & cycle-lanes,instead on installation of Smog Tower.

Isn’t it taught us in school that prevention is better than cure 🤔
#WalkableCities
#DelhiPollution
#TrafficCongestion https://twitter.com/urbansciencesIN/status/1237565225525637122 …",,,60339937,60339937.0,,,nitinpanigrahi,,"cleanup air needs cleanup ground. lets hope it is spent appropriately on improving network of footpaths & cycle-lanes,instead on installation of smog tower. isn’t it taught us in school that prevention is better than cure 🤔 #walkablecities #delhipollution #trafficcongestion …",-1,0.8021283745765686
79,0.0,"2018-19 kejriwals delgvt subsidy 4-votes electricity-1800cr water-400cr free bus tickets 4women 280cr free mask distribution-10cr tv, newspapers n radios ads 4subsidy/mask distribution-80cr total mony spent rs.2570cr smog tower cost is rs.2cr n total req.53 smog towers 4rs.106cr …",564.0,631.0,0,[],1.21e+18,1576151277000.0,2019-12-12 11:47:57,4.0,,,[],11.0,1.21e+18,,,,,https://twitter.com/sanjeevsehgal19/status/1205091920201961474,,sanjeev sehgal,,0.0,0.0,0.0,,,https://twitter.com/sanjeevsehgal19/status/1205091709006204928,,"[{'user_id': '3307303866', 'username': 'sanjeevsehgal19'}]",,False,,,,,smog tower,,,,,,UTC,,,,"2018-19 KEJRIWALS DELGVT SUBSIDY 4-VOTES ELECTRICITY-1800CR WATER-400CR FREE BUS TICKETS 4WOMEN 280CR FREE MASK DISTRIBUTION-10CR TV, NEWSPAPERS N RADIOS ADS 4SUBSIDY/MASK DISTRIBUTION-80CR TOTAL MONY SPENT RS.2570CR SMOG TOWER COST IS RS.2CR N TOTAL REQ.53 SMOG TOWERS 4RS.106CR  https://twitter.com/sanjeevsehgal19/status/1205091709006204928 …",,,3307303866,3307303866.0,,,sanjeevsehgal19,,"2018-19 kejriwals delgvt subsidy 4-votes electricity-1800cr water-400cr free bus tickets 4women 280cr free mask distribution-10cr tv, newspapers n radios ads 4subsidy/mask distribution-80cr total mony spent rs.2570cr smog tower cost is rs.2cr n total req.53 smog towers 4rs.106cr …",0,0.9263586401939392
93,0.0,i've just posted a new blog: delhi may get anti-smog tower by next winter,659.0,743.0,0,[],1.2e+18,1573969651000.0,2019-11-17 5:47:31,7.0,,,[],5.0,1.2e+18,,,,,https://twitter.com/yashgup85091905/status/1195941514045771781,,yash gupta,,0.0,0.0,0.0,,,,,"[{'user_id': '1005036173461544961', 'username': 'yashgup85091905'}]",,False,,,,,smog tower,,,,,,UTC,,,,I've just posted a new blog: Delhi may get anti-smog tower by next winter  https://ift.tt/33W6Mwm ,,,1005036173461544961,1.01e+18,,,yashgup85091905,,i've just posted a new blog: delhi may get anti-smog tower by next winter,0,0.932936429977417
94,0.0,so simple solutions for delhi ? *delhi area: 1484 sq. km.* *1 smog tower cleans area: pi×3×3= 28 sq. km.* *total smog tower required: 1484÷28 = 53.*,862.0,1065.0,0,[],1.19e+18,1572865952000.0,2019-11-04 11:12:32,1.0,,,[],11.0,1.19e+18,,,,,https://twitter.com/ARINJAY_PHYSICS/status/1191312265846243329,,Arinjay Kumar,,0.0,0.0,0.0,,,,,"[{'user_id': '901821492266115072', 'username': 'ARINJAY_PHYSICS'}, {'user_id': '18839785', 'username': 'narendramodi'}]",,False,,,,,smog tower,,,,,,UTC,,,,"@narendramodi 
So simple solutions for DELHI ?
*Delhi Area: 1484 sq. Km.*
*1 Smog Tower cleans area: pi×3×3= 28 sq. Km.*
*Total Smog Tower required: 1484÷28 = 53.*",,,901821492266115072,9.02e+17,,,ARINJAY_PHYSICS,,so simple solutions for delhi ? *delhi area: 1484 sq. km.* *1 smog tower cleans area: pi×3×3= 28 sq. km.* *total smog tower required: 1484÷28 = 53.*,0,0.9836453199386597
97,0.0,delhi:1484 sqkm 1 smog tower cleans area 28km total smog tower require:53 cost 2 cr/each.total cost106cr subsidy for votes: electricity:1800 cr water:400 cr free bus ticket 280 cr total money spent 2600 बीजिंग स्मोग टॉवर बनाकर पॉल्यूशन पर कंट्रोल कर लिया और हम: …,839.0,1035.0,0,[],1.19e+18,1572876453000.0,2019-11-04 14:07:33,1.0,,,[],14.0,1.19e+18,,,,,https://twitter.com/vinodmishra64/status/1191356311276965889,,Vinod Mishra,,4.0,0.0,1.0,,,https://twitter.com/rajivtuli69/status/1191346793126092801,,"[{'user_id': '22483220', 'username': 'vinodmishra64'}, {'user_id': '405427035', 'username': 'ArvindKejriwal'}]",,False,,,,,smog tower,,,,,,UTC,,,,"Delhi:1484 sqKm
1 Smog Tower cleans area 28Km
Total Smog Tower require:53
cost 2 Cr/each.Total Cost106cr 
@ArvindKejriwal subsidy for Votes:
Electricity:1800 Cr
Water:400 Cr
Free Bus Ticket 280 Cr
Total Money spent 2600 बीजिंग स्मोग टॉवर बनाकर पॉल्यूशन पर कंट्रोल कर लिया और हम: https://twitter.com/rajivtuli69/status/1191346793126092801 …",,,22483220,22483220.0,,,vinodmishra64,,delhi:1484 sqkm 1 smog tower cleans area 28km total smog tower require:53 cost 2 cr/each.total cost106cr subsidy for votes: electricity:1800 cr water:400 cr free bus ticket 280 cr total money spent 2600 बीजिंग स्मोग टॉवर बनाकर पॉल्यूशन पर कंट्रोल कर लिया और हम: …,0,0.9685508012771606
113,0.0,delhi gets first smog tower to combat air pollution. this pilot project to consider the efficacy of smog towers is being undertaken by the iit bombay in collaboration with iit delhi and the university of minnesota. …,524.0,576.0,0,[],1.21e+18,1578028255000.0,2020-01-03 5:10:55,5.0,,,[],5.0,1.21e+18,,,,,https://twitter.com/iitbombay/status/1212964535444787200,,IIT Bombay,,36.0,1.0,12.0,,,,,"[{'user_id': '19959268', 'username': 'iitbombay'}]",,False,,,,,smog tower,,,,,,UTC,,,,"Delhi gets first smog tower to combat air pollution. This pilot project to consider the efficacy of smog towers is being undertaken by the IIT Bombay in collaboration with IIT Delhi and the University of Minnesota.
  
 https://www.hindustantimes.com/cities/delhi-s-first-smog-tower-to-start-working-at-lajpat-nagar-from-friday/story-iMDG2W04FGK0cxhcYm0SnI.html …",,,19959268,19959268.0,,,iitbombay,,delhi gets first smog tower to combat air pollution. this pilot project to consider the efficacy of smog towers is being undertaken by the iit bombay in collaboration with iit delhi and the university of minnesota. …,0,0.8231041431427002
115,0.0,delhi area: 1484 sq. km.* *1 smog tower cleans area: pi×3×3= 28 sq. km.* *total smog tower required: 1484÷28 = 53.* *one smog tower cost = 2 crore.* *total one time cost required to install smog towers throughout delhi . ref google,842.0,1044.0,0,[],1.19e+18,1572874442000.0,2019-11-04 13:34:02,1.0,,,[],13.0,1.19e+18,,,,,https://twitter.com/sumitgogia79/status/1191347878054125568,,Sumit Gogia,,0.0,0.0,0.0,,,,,"[{'user_id': '141568619', 'username': 'sumitgogia79'}, {'user_id': '471741741', 'username': 'PMOIndia'}]",,False,,,,,smog tower,,,,,,UTC,,,,"Delhi Area: 1484 sq. Km.*
*1 Smog Tower cleans area: pi×3×3= 28 sq. Km.*
*Total Smog Tower required: 1484÷28 = 53.*
*One Smog Tower cost = 2 Crore.*
*Total One time Cost required to install Smog Towers throughout Delhi . Ref Google @PMOIndia",,,141568619,141568619.0,,,sumitgogia79,,delhi area: 1484 sq. km.* *1 smog tower cleans area: pi×3×3= 28 sq. km.* *total smog tower required: 1484÷28 = 53.* *one smog tower cost = 2 crore.* *total one time cost required to install smog towers throughout delhi . ref google,0,0.9865304827690125
123,0.0,cont: from previous tweet. delhi area: 1484 sq. km. 1 smog tower cleans area: pi×3×3= 28 sq. km. total smog tower required: 1484÷28 = 53. one smog tower cost = 2 crore. total one time cost required to install smog towers throughout delhi = 53×2= 106 crores only,823.0,1014.0,0,[],1.19e+18,1572885807000.0,2019-11-04 16:43:27,1.0,,,[],16.0,1.19e+18,,,,,https://twitter.com/ManojPabrai/status/1191395544746250240,,Dr. Manoj Pabrai https://www.drpabrai.com,,0.0,0.0,0.0,,,,,"[{'user_id': '2577585565', 'username': 'ManojPabrai'}, {'user_id': '18839785', 'username': 'narendramodi'}]",,False,,,,,smog tower,,,,,,UTC,,,,"@narendramodi Cont: from previous tweet. 
Delhi Area: 1484 sq. Km.
1 Smog Tower cleans area: pi×3×3= 28 sq. Km.
Total Smog Tower required: 1484÷28 = 53.
One Smog Tower cost = 2 Crore.
Total One time Cost required to install Smog Towers throughout Delhi = 53×2= 106 Crores Only",,,2577585565,2577585565.0,,,ManojPabrai,,cont: from previous tweet. delhi area: 1484 sq. km. 1 smog tower cleans area: pi×3×3= 28 sq. km. total smog tower required: 1484÷28 = 53. one smog tower cost = 2 crore. total one time cost required to install smog towers throughout delhi = 53×2= 106 crores only,0,0.9866164922714233
127,0.0,#oddevenscheme delhi area: 1484 sq. km. 1 smog tower cleans area: pi×3×3= 28 sq. km. total smog tower required: 1484÷28 = 53. one smog tower cost = 2 crore. total one time cost required to install smog towers throughout delhi = 53×2= 106 crores only.,819.0,1008.0,0,[],1.19e+18,1572887363000.0,2019-11-04 17:09:23,1.0,,,['#oddevenscheme'],17.0,1.19e+18,,,,,https://twitter.com/ldk60/status/1191402071481712641,,Dinesh Kumar,,0.0,0.0,0.0,,,,,"[{'user_id': '706119762384826369', 'username': 'ldk60'}]",,False,,,,,smog tower,,,,,,UTC,,,,"#oddevenscheme Delhi Area: 1484 sq. Km.
1 Smog Tower cleans area: pi×3×3= 28 sq. Km.
Total Smog Tower required: 1484÷28 = 53.
One Smog Tower cost = 2 Crore.
Total One time Cost required to install Smog Towers throughout Delhi = 53×2= 106 Crores Only.",,,706119762384826369,7.06e+17,,,ldk60,,#oddevenscheme delhi area: 1484 sq. km. 1 smog tower cleans area: pi×3×3= 28 sq. km. total smog tower required: 1484÷28 = 53. one smog tower cost = 2 crore. total one time cost required to install smog towers throughout delhi = 53×2= 106 crores only.,0,0.9866225123405457
130,0.0,delhi area: 1484 sq. km. 1 smog tower cleans area: pi×3×3= 28 sq. km. total smog tower required: 1484÷28 = 53. one smog tower cost = 2 crore. total one time cost required to install smog towers throughout delhi = 53×2= 106 crores could you pls examune this 🙏 …,722.0,874.0,0,[],1.19e+18,1573118809000.0,2019-11-07 9:26:49,4.0,,,[],9.0,1.19e+18,,,,,https://twitter.com/CaPokharna/status/1192372825681645568,,CA Anil Pokharna,,0.0,0.0,0.0,,,https://twitter.com/ArvindKejriwal/status/1192069656145645569,,"[{'user_id': '1069749185455501312', 'username': 'CaPokharna'}]",,False,,,,,smog tower,,,,,,UTC,,,,"Delhi Area: 1484 sq. Km.
1 Smog Tower cleans area: pi×3×3= 28 sq. Km.
Total Smog Tower required: 1484÷28 = 53.
One Smog Tower cost = 2 Crore.
Total One time Cost required to install Smog Towers throughout Delhi = 53×2= 106 Crores 
could you pls examune this 🙏  https://twitter.com/ArvindKejriwal/status/1192069656145645569 …",,,1069749185455501312,1.07e+18,,,CaPokharna,,delhi area: 1484 sq. km. 1 smog tower cleans area: pi×3×3= 28 sq. km. total smog tower required: 1484÷28 = 53. one smog tower cost = 2 crore. total one time cost required to install smog towers throughout delhi = 53×2= 106 crores could you pls examune this 🙏 …,0,0.9861627221107483
