,date,tweet_processed,tweet,ZLabel,favorites,geo,hashtags,id,mentions,new,permalink,retweets,username,Lang,Tweet text processed,pred,pred_raw
53,11-11-2019 18:00,"we definitely need a revisit of the grap protocols,"" says in ""it's odd that #oddeven and the other emergency measures did not kick in earlier this week."" #clearingtheair …""","We definitely need a revisit of the GRAP protocols,"" says @ santoshharish1 in @ htTweets. ""It's odd that # oddeven and the other emergency measures did not kick in earlier this week."" # clearingtheairhttps://www.hindustantimes.com/delhi-news/quick-proactive-why-beijing-s-grap-works-and-delhi-s-doesn-t/story-UvKSAUFXSHvoePJ178XukJ.html …""",-1,2.0,,# #,1.19e+18,@ @,,https://twitter.com/CPR_Climate/status/1193868672001019904,1.0,CPR_Climate,en,"we definitely need a revisit of the grap protocols,"" says in ""it's odd that #oddeven and the other emergency measures did not kick in earlier this week."" #clearingtheair …""",0,0.998838484287262
57,13-11-2019 14:50,"#delhi govt implementing #oddeven first deliver well services for connectivity i.e. public transport. if u doest providing ac y u charged for it, is your buses up to the mark? since last 4 year nothing work progressing in public transport …","@ ArvindKejriwal @ TransportDelhi @ kgahlot # Delhi govt implementing # OddEven first deliver well services for connectivity i.e. public transport. if u doest providing ac y u charged for it, is your buses up to the mark? since last 4 year nothing work progressing in public transport https://twitter.com/rrmunjal/status/1194475021336555520 …",-1,11.0,,# #,1.19e+18,@ @ @,,https://twitter.com/Gauravbjpfzd/status/1194545582938804224,33.0,Gauravbjpfzd,en,"#delhi govt implementing #oddeven first deliver well services for connectivity i.e. public transport. if u doest providing ac y u charged for it, is your buses up to the mark? since last 4 year nothing work progressing in public transport …",1,0.9662922024726868
58,13-11-2019 15:05,#newsalert #oddeven had no impact on controlling pollution in delhi: bjp mp gautam gambhir. #righttobreathe,# NewsAlert # OddEven had no impact on controlling pollution in Delhi: BJP MP Gautam Gambhir. # RightToBreathe,-1,0.0,,# # #,1.19e+18,,,https://twitter.com/Live24News5/status/1194549236576079873,1.0,Live24News5,en,#newsalert #oddeven had no impact on controlling pollution in delhi: bjp mp gautam gambhir. #righttobreathe,-1,0.9987008571624756
60,13-11-2019 16:56,"#oddeven is a traffic control measure, not the one to curb pollution. wrong medicine. …","# OddEven is a traffic control measure, not the one to curb pollution. Wrong medicine. https://twitter.com/ArvindKejriwal/status/1194545015474647043 …",-1,4.0,,#,1.19e+18,,,https://twitter.com/shantanunandan2/status/1194577250487853057,1.0,shantanunandan2,en,"#oddeven is a traffic control measure, not the one to curb pollution. wrong medicine. …",-1,0.9991227984428406
66,06-11-2019 9:43,"the delhi government launched the third edition of the controversial odd-even scheme to curb pollution in delhi. in the wake of air quality crossing dangerous levels, read how this scheme gives false hopes to delhiites. #oddeven #delhiair #delhipollution","The Delhi Government launched the third edition of the controversial Odd-Even scheme to curb pollution in Delhi. In the wake of air quality crossing dangerous levels, read how this scheme gives false hopes to Delhiites. http://bit.ly/2qvWPH9 # OddEven # DelhiAir # DelhiPollutionpic.twitter.com/kHlB4edVNM",-1,0.0,,# # #,1.19e+18,,,https://twitter.com/thecsrjournal/status/1191931599627149312,0.0,thecsrjournal,en,"the delhi government launched the third edition of the controversial odd-even scheme to curb pollution in delhi. in the wake of air quality crossing dangerous levels, read how this scheme gives false hopes to delhiites. #oddeven #delhiair #delhipollution",0,0.9917353987693787
67,06-11-2019 12:55,better stance.. much better than bullish #oddeven challan stunt.. …,Better stance.. much better than bullish # OddEven challan stunt.. https://twitter.com/VijayGoelBJP/status/1191701287475142657 …,-1,0.0,,#,1.19e+18,,,https://twitter.com/nconeindia/status/1191979790624022528,0.0,nconeindia,en,better stance.. much better than bullish #oddeven challan stunt.. …,1,0.995863676071167
72,14-11-2019 13:02,oddeven seems to be a fund collection activity as other than smooth traffic there is no environment improvement. are we so desperate to show our power? #oddeven #delhiairpollution …,OddEven seems to be a fund collection activity as other than smooth traffic there is No environment improvement. Are we so desperate to show our power? @ AamAadmiParty @ ArvindKejriwal @ narendramodi @ PMOIndia # OddEven # DelhiAirPollution @ LtGovDelhi @ INCDelhi @ TOIIndiaNewshttps://twitter.com/9vinie/status/1194879969710624768 …,-1,0.0,,# #,1.19e+18,@ @ @ @ @ @ @,,https://twitter.com/9vinie/status/1194880651779919872,0.0,9vinie,,oddeven seems to be a fund collection activity as other than smooth traffic there is no environment improvement. are we so desperate to show our power? #oddeven #delhiairpollution …,-1,0.9985979199409485
86,13-11-2019 22:23,"how idiosyncrasy of an individual can befool masses & hold the system to ransom is best exemplified by #oddeven rule in delhi; with no evidence to boot and respite from the ongoing pollution inspite of the rule in practice, the intention of extending it is outright illogical!","How idiosyncrasy of an individual can befool masses & hold the system to ransom is best exemplified by # OddEven rule in Delhi; with no evidence to boot and respite from the ongoing pollution inspite of the rule in practice, the intention of extending it is outright illogical!",-1,1.0,,#,1.19e+18,,,https://twitter.com/SK_WDC/status/1194659440697327616,0.0,SK_WDC,en,"how idiosyncrasy of an individual can befool masses & hold the system to ransom is best exemplified by #oddeven rule in delhi; with no evidence to boot and respite from the ongoing pollution inspite of the rule in practice, the intention of extending it is outright illogical!",-1,0.9988184571266174
87,04-11-2019 15:03,"fire data of the past 48 hours! mr kejriwal stop bashing kishan and haryan govt for this pollution, this is your failure and please ban factories! #oddeven #delhincrpollution #panipat #oddevendobara","Fire data of the past 48 hours! Mr Kejriwal Stop Bashing Kishan and Haryan Govt For This Pollution, This Is Your Failure And Please Ban Factories! # OddEven # DelhiNCRPollution # Panipat # OddEvenDobarapic.twitter.com/YFZNUHl2DY",-1,1.0,,# # # #,1.19e+18,,True,https://twitter.com/Instastariam/status/1191287324593680384,0.0,Instastariam,en,"fire data of the past 48 hours! mr kejriwal stop bashing kishan and haryan govt for this pollution, this is your failure and please ban factories! #oddeven #delhincrpollution #panipat #oddevendobara",-1,0.9987672567367554
90,13-11-2019 21:24,"and the entire nation wants to know what is that ""something"" which neither useful nor perfect still implemented to satisfy the ego buds of some one "" ? #oddeven #delhiairpollution #delhi""","@ BDUTT And the entire nation wants to know what is that ""something"" which neither useful nor perfect still implemented to satisfy the ego buds of some one "" ? # OddEven # DelhiAirPollution # Delhi""",-1,0.0,,# # #,1.19e+18,@,,https://twitter.com/trndngnow/status/1194644750420201472,0.0,trndngnow,en,"and the entire nation wants to know what is that ""something"" which neither useful nor perfect still implemented to satisfy the ego buds of some one "" ? #oddeven #delhiairpollution #delhi""",0,0.9651061296463013
97,14-11-2019 00:07,"which action plan? every action, including #oddeven, was just to fool people.","Which action plan? Every action, including # OddEven, was just to fool people.",-1,0.0,,#,1.19e+18,,,https://twitter.com/amitsingh2203/status/1194685631940759554,0.0,amitsingh2203,,"which action plan? every action, including #oddeven, was just to fool people.",-1,0.9990000128746033
102,01-11-2019 15:18,it’s high time that instead of making election announcements should start doing some real work to fight pollution. pls stop making us fool in the name of flop #oddeven. #wakeupfordelhi #delhiairquality,It’s high time that @ ArvindKejriwal instead of making election announcements should start doing some real work to fight pollution. Pls stop making us fool in the name of flop # OddEven. # wakeupforDelhi # DelhiAirQualitypic.twitter.com/VRkKUS0T0o,-1,0.0,,# # #,1.19e+18,@,,https://twitter.com/tushtiiWadhwa/status/1190204041508179968,0.0,tushtiiWadhwa,,it’s high time that instead of making election announcements should start doing some real work to fight pollution. pls stop making us fool in the name of flop #oddeven. #wakeupfordelhi #delhiairquality,-1,0.998157799243927
110,04-11-2019 21:59,#oddeven may not be the best thing to solve the pollution issue in delhi,# OddEven may not be the best thing to solve the pollution issue in Delhi,-1,3.0,,#,1.19e+18,,,https://twitter.com/Srihari_Prasad/status/1191391986802032648,0.0,Srihari_Prasad,en,#oddeven may not be the best thing to solve the pollution issue in delhi,-1,0.9990413784980774
117,04-11-2019 16:03,this is what you can expect from these sick people can we do multiple challan and #cancel #license #aapnews #oddeven #aap,this is what you can expect from these sick people @ ArvindKejriwal @ msisodia can we do multiple challan and # cancel # license # AapNews # OddEven # AAP @ DelhiPolice,-1,2.0,,# # # # #,1.19e+18,@ @ @,,https://twitter.com/InSanjeev/status/1191302426483015680,0.0,InSanjeev,en,this is what you can expect from these sick people can we do multiple challan and #cancel #license #aapnews #oddeven #aap,1,0.9930368065834045
123,02-11-2019 12:58,why not start planting trees like pipal and bargad on road side rather than those ornamental plants used by our cm. #oddeven,Why not start planting trees like Pipal and Bargad on road side rather than those ornamental plants used by our CM. # OddEven,-1,0.0,,#,1.19e+18,,,https://twitter.com/MalhotraSachin/status/1190531206640631808,0.0,MalhotraSachin,,why not start planting trees like pipal and bargad on road side rather than those ornamental plants used by our cm. #oddeven,-1,0.9136694073677063
129,03-11-2019 12:37,"#delhiairemergency we can just request the govt. my husband has developed asthama, children are suffering. #oddeven is not the permanent solution. delhi has become gas chamber. people are not stopping construction work. it's failure of the government","# DelhiAirEmergency we can just request the Govt. My husband has developed asthama, children are suffering. # OddEven is not the permanent solution. Delhi has become gas chamber. People are not stopping construction work. It's failure of the Government",-1,2.0,,# #,1.19e+18,,,https://twitter.com/alpapuri30/status/1190888323687931904,2.0,alpapuri30,,"#delhiairemergency we can just request the govt. my husband has developed asthama, children are suffering. #oddeven is not the permanent solution. delhi has become gas chamber. people are not stopping construction work. it's failure of the government",-1,0.9990473389625549
135,03-11-2019 10:24,though #oddeven is not a good move but it is not enough #delhiairemergency #delhipollution #delhibachao,Though # OddEven is not a good move but it is not enough # DelhiAirEmergency # DelhiPollution # DelhiBachaopic.twitter.com/avm95kdwe6,-1,1.0,,# # # #,1.19e+18,,,https://twitter.com/sumitjain99/status/1190854715203977216,1.0,sumitjain99,,though #oddeven is not a good move but it is not enough #delhiairemergency #delhipollution #delhibachao,-1,0.998988926410675
144,02-11-2019 13:00,… oddeven fail scheme,https://twitter.com/barkhasingh45/status/1172732929862029312?s=19 … OddEven fail scheme,-1,0.0,,#,1.19e+18,,,https://twitter.com/MalhotraSachin/status/1190531512879304704,0.0,MalhotraSachin,,… oddeven fail scheme,-1,0.995500385761261
147,02-11-2019 8:38,"how does this help in pollution? we have a wide spectrum of political stupidity - keeping fasts to #oddeven to asking kids to write letters to captain uncle !!! get your act together, you’re supposed to in public service not stand up comedy. #delhiairemergency …","How does this help in pollution? We have a wide spectrum of political stupidity - keeping fasts to # OddEven to asking kids to write letters to Captain Uncle !!! Get your act together, you’re supposed to in public service not stand up comedy. # DelhiAirEmergencyhttps://twitter.com/VijayGoelBJP/status/1190251365479546881 …",-1,2.0,,# #,1.19e+18,,,https://twitter.com/amanpaggarwal/status/1190465794506809344,2.0,amanpaggarwal,,"how does this help in pollution? we have a wide spectrum of political stupidity - keeping fasts to #oddeven to asking kids to write letters to captain uncle !!! get your act together, you’re supposed to in public service not stand up comedy. #delhiairemergency …",-1,0.9983988404273987
150,19-11-2019 01:32,my blog with some facts and calculation based on assumptions why #oddeven is a failure …,My blog with some facts and calculation based on assumptions why # OddEven is a Failure @ BJP4India @ BJP4Haryana @ BJP4UP @ BJP4Delhi @ NupurSharmaBJP @ ManojTiwariMP @ KapilMishra_IND https://pollutionmeasure.blogspot.com/2019/11/odd-even-big-failure.html?m=1 …,-1,3.0,,#,1.2e+18,@ @ @ @ @ @ @,,https://twitter.com/piyushsaxena79/status/1196519107148992512,1.0,piyushsaxena79,,my blog with some facts and calculation based on assumptions why #oddeven is a failure …,-1,0.9989621639251709
153,20-11-2019 08:58,i can't believe that the man who could take tough decisions like demonetisation and surgical strikes is merely purchasing air purifiers for his residence on this one also it's obvious we need a lot more than #oddeven for this #delhincrpollution #delhiairemergency …,I can't believe that the man who could take tough decisions like Demonetisation and Surgical strikes is merely purchasing air purifiers for his residence on this one Also @ ArvindKejriwal it's obvious we need a lot more than # OddEven for this # DelhiNCRPollution # DelhiAirEmergencyhttps://twitter.com/ani_digital/status/1196989700872925186 …,-1,1.0,,# # #,1.2e+18,@,,https://twitter.com/arelanikhil/status/1196993698334003201,1.0,arelanikhil,,i can't believe that the man who could take tough decisions like demonetisation and surgical strikes is merely purchasing air purifiers for his residence on this one also it's obvious we need a lot more than #oddeven for this #delhincrpollution #delhiairemergency …,-1,0.9968698620796204
157,21-11-2019 15:06,delhi govt ran #oddeven scheme successfully: aap mp sanjay singh in rajya sabha. with no effect on air quality improvement. sanjay singh to be reminded what bhagvat maan said about parali.,Delhi govt ran # OddEven scheme successfully: AAP MP Sanjay Singh in Rajya Sabha. With no effect on air quality improvement. Sanjay Singh to be reminded what bhagvat maan said about parali.,-1,0.0,,#,1.2e+18,,,https://twitter.com/sandeep041267/status/1197448606162341888,0.0,sandeep041267,,delhi govt ran #oddeven scheme successfully: aap mp sanjay singh in rajya sabha. with no effect on air quality improvement. sanjay singh to be reminded what bhagvat maan said about parali.,0,0.732000470161438
158,21-11-2019 21:45,"and we have hoardings in delhi claiming #oddeven reduced #delhiairpollution by 25%. if this complete lies & misinformation, what is? …","And we have hoardings in Delhi claiming # oddeven reduced # DelhiAirPollution by 25%. If this complete lies & misinformation, what is?https://twitter.com/livemint/status/1197460388704485377 …",-1,6.0,,# #,1.2e+18,,,https://twitter.com/jasuja/status/1197549115988537344,4.0,jasuja,,"and we have hoardings in delhi claiming #oddeven reduced #delhiairpollution by 25%. if this complete lies & misinformation, what is? …",-1,0.9939730763435364
163,29-11-2019 19:42,"agree, in india brts has miserably failed due to various reasons. tried and rejected in delhi but is #oddeven the solution to pollution problem? definitely not. however, many places have seen success running brts.","Agree, in India BRTS has miserably failed due to various reasons. Tried and rejected in Delhi but is # oddeven the solution to pollution problem? Definitely not. However, many places have seen success running BRTS. pic.twitter.com/xtEMKxmkVT",-1,0.0,,#,1.2e+18,,,https://twitter.com/hum_bolega/status/1200417362479943681,0.0,hum_bolega,,"agree, in india brts has miserably failed due to various reasons. tried and rejected in delhi but is #oddeven the solution to pollution problem? definitely not. however, many places have seen success running brts.",-1,0.9985456466674805
164,29-11-2019 22:37,"just to clarify for some of you folks, delhi police was just following the orders. although they comes under central govt but they supported delhi govt well during #oddeven (respect). however the event was just a publicity stunt. almost zero impact on pollution.","Just to clarify for some of you folks, Delhi police was just following the orders. Although they comes under Central govt but they supported Delhi govt well during # oddeven (respect). However the event was just a publicity stunt. Almost zero impact on pollution.",-1,0.0,,#,1.2e+18,,,https://twitter.com/Manish_x_Sharma/status/1200461376671469568,0.0,Manish_x_Sharma,,"just to clarify for some of you folks, delhi police was just following the orders. although they comes under central govt but they supported delhi govt well during #oddeven (respect). however the event was just a publicity stunt. almost zero impact on pollution.",-1,0.9989759922027588
168,04-11-2019 14:22,it's funny when cm thinks placing #oddeven for 12 days will reduce #pollution and #smog throughout year,It's funny when CM @ ArvindKejriwal thinks placing # OddEven for 12 days will reduce # pollution and # smog throughout year,-1,1.0,,# # #,1.19e+18,@,,https://twitter.com/dwarkadevils/status/1191276932089794560,0.0,dwarkadevils,en,it's funny when cm thinks placing #oddeven for 12 days will reduce #pollution and #smog throughout year,1,0.9202176332473755
172,21-11-2019 12:28,#oddeven totally fail policy of govt #thursdaythoughts #thursdaymorning …,# oddeven totally fail policy of @ ArvindKejriwal govt # ThursdayThoughts # ThursdayMorninghttps://twitter.com/Geeta_Mohan/status/1197405334827978752 …,-1,0.0,,# # #,1.2e+18,@,,https://twitter.com/Girishp16610604/status/1197409027325669376,0.0,Girishp16610604,,#oddeven totally fail policy of govt #thursdaythoughts #thursdaymorning …,-1,0.998923122882843
177,04-11-2019 12:37,"bjp leader vijay goel leaves from his house in an odd numbered car in protest against #oddeven scheme,says 'this scheme is just a gimmick, they(delhi govt) themselves say pollution is due to stubble burning,then how does this scheme help? i am ready to pay the fine for violation'","BJP leader Vijay Goel leaves from his house in an odd numbered car in protest against # OddEven scheme,says 'This scheme is just a gimmick, they(Delhi Govt) themselves say pollution is due to stubble burning,then how does this scheme help? I am ready to pay the fine for violation' pic.twitter.com/XuZQcNO3YK",-1,0.0,,#,1.19e+18,,,https://twitter.com/WeForNews/status/1191250722437730304,0.0,WeForNews,en,"bjp leader vijay goel leaves from his house in an odd numbered car in protest against #oddeven scheme,says 'this scheme is just a gimmick, they(delhi govt) themselves say pollution is due to stubble burning,then how does this scheme help? i am ready to pay the fine for violation'",0,0.9910785555839539
188,17-11-2019 12:20,"how is it possible without 's gimmick #oddeven scheme which finished on 15.11.2019. he thinks by spending over ₹ 100 cr on advertisement and forcing badly implemented #oddevenscheme on delhi, he will be able to fool delhites. not this time....... …","How is it possible without @ ArvindKejriwal 's gimmick # OddEven scheme which finished on 15.11.2019. He thinks by spending over ₹ 100 cr on advertisement and forcing badly implemented # oddevenscheme on Delhi, he will be able to fool Delhites. Not this time.......https://twitter.com/indiatvnews/status/1195914751978508289 …",-1,0.0,,# #,1.2e+18,@,,https://twitter.com/narinder_mohan/status/1195957472441196545,0.0,narinder_mohan,,"how is it possible without 's gimmick #oddeven scheme which finished on 15.11.2019. he thinks by spending over ₹ 100 cr on advertisement and forcing badly implemented #oddevenscheme on delhi, he will be able to fool delhites. not this time....... …",-1,0.9981573224067688
194,18-11-2019 10:03,no thanks to #oddeven,No thanks to # OddEven,-1,0.0,,#,1.2e+18,,,https://twitter.com/DeepakVerma2903/status/1196285204521816065,0.0,DeepakVerma2903,,no thanks to #oddeven,1,0.9969655871391296
208,04-11-2019 12:48,was it due to #oddeven or due to rain? did dtu share that detail?,Was it due to # oddeven or due to rain? Did DTU share that detail?,0,0.0,,#,1.19e+18,,,https://twitter.com/Manish_x_Sharma/status/1191253397426458624,0.0,Manish_x_Sharma,en,was it due to #oddeven or due to rain? did dtu share that detail?,0,0.9984956979751587
210,05-11-2019 12:55,the memes and jokes about #oddeven as the scheme returns in delhi …,The memes and jokes about # OddEven as the scheme returns in Delhi https://indianexpress.com/article/trending/trending-in-india/delhi-pollution-odd-even-scheme-memes-jokes-6103945/ …,0,2.0,,#,1.19e+18,,,https://twitter.com/ietrending/status/1191617448476168192,2.0,ietrending,en,the memes and jokes about #oddeven as the scheme returns in delhi …,0,0.998653769493103
217,13-11-2019 21:50,#nitaambani #delhiairemergency #oddeven #nawazsharif #azadi_march #shivasena,# NitaAmbani # DelhiAirEmergency # OddEven # NawazSharif # Azadi_March # ShivaSena @ anilkohli54 @ Dev_Fadnavispic.twitter.com/NqX67d7B9Q,0,2.0,,# # # # # #,1.19e+18,@ @,,https://twitter.com/rajeevchopra70/status/1194651243211157505,1.0,rajeevchopra70,en,#nitaambani #delhiairemergency #oddeven #nawazsharif #azadi_march #shivasena,0,0.9910010695457458
219,05-11-2019 17:04,treating delhi air pollution with #oddeven is like treating brain tumour using homeopathy medicine!!,Treating Delhi air pollution with # OddEven is like treating brain tumour using homeopathy medicine!!,0,3.0,,#,1.19e+18,,,https://twitter.com/RajivSinhg/status/1191680063109914626,1.0,RajivSinhg,en,treating delhi air pollution with #oddeven is like treating brain tumour using homeopathy medicine!!,-1,0.9985028505325317
223,07-11-2019 18:12,mr kejriwal any idea how does a man go back to his home when no cars are available im remote office location. when i cant have my wife come to pick me. sleep back at office today? even car number here. need your advise #veryodd #oddeven,@ ArvindKejriwal Mr Kejriwal ANY IDEA how does a MAN go back to his home when No Cars are available im remote office location. When I cant have my wife come to pick me. Sleep back at office today? Even Car Number here. Need your advise # VeryOdd # OddEven pic.twitter.com/h26CE5QUWv,0,1.0,,# #,1.19e+18,@,,https://twitter.com/agnisvann/status/1192422028399144962,0.0,agnisvann,en,mr kejriwal any idea how does a man go back to his home when no cars are available im remote office location. when i cant have my wife come to pick me. sleep back at office today? even car number here. need your advise #veryodd #oddeven,0,0.9991652965545654
224,04-11-2019 12:59,someone please enlighten - how is #oddeven going to stop pollution from crop burning?,Someone please enlighten - How is # OddEven going to stop pollution from crop burning?,0,8.0,,#,1.19e+18,,,https://twitter.com/MeriChotiDuniya/status/1191256248743673856,3.0,MeriChotiDuniya,en,someone please enlighten - how is #oddeven going to stop pollution from crop burning?,0,0.9793303608894348
227,13-11-2019 22:07,he will use 1174cr green cess for #oddeven self pramotion,He will use 1174cr green cess for # OddEven self pramotion,0,0.0,,#,1.19e+18,,,https://twitter.com/saransh2334/status/1194655539109584896,0.0,saransh2334,en,he will use 1174cr green cess for #oddeven self pramotion,0,0.9268577098846436
230,05-11-2019 8:10,"if you r against govt its okay, but i am glad to inform you that you r 1st people's representative (pr) and pr dont break rules, i would urge you not to break rules of #oddeven. …","@ VijayGoelBJP If you r against @ ArvindKejriwal Govt its okay, but i am glad to inform you that you r 1st people's representative (PR) and PR dont break rules, I would urge you not to break rules of # OddEven. https://www.hindustantimes.com/delhi-news/bjp-s-vijay-goel-violates-odd-even-rule-fined-aap-minister-hands-him-roses/story-CnKUQIPt2mvSWwO2VbjlJI.html …",0,0.0,,#,1.19e+18,@ @,,https://twitter.com/dhruv6341/status/1191545764670869504,0.0,dhruv6341,en,"if you r against govt its okay, but i am glad to inform you that you r 1st people's representative (pr) and pr dont break rules, i would urge you not to break rules of #oddeven. …",0,0.5735270380973816
239,04-11-2019 21:36,actually i personally wanted to see someone in hospital i postpone to tomorrow any how just thought about no advertising for sos situation #oddeven awaazएहिन्द #munnadeshka,Actually I personally wanted to see someone in hospital I postpone to tomorrow any how just thought about NO advertising for SOS situation # OddEven @ dtptraffic Awaazएहिन्द # munnadeshka,0,0.0,,# #,1.19e+18,@,,https://twitter.com/munnadeshka/status/1191386132186980352,0.0,munnadeshka,en,actually i personally wanted to see someone in hospital i postpone to tomorrow any how just thought about no advertising for sos situation #oddeven awaazएहिन्द #munnadeshka,1,0.6276249885559082
250,04-11-2019 13:10,how is your city’s air impacting you? #oddeven #letsuniteagainstpollution,How is your city’s air impacting you? http://breathelife2030.org # OddEven # LetsUniteAgainstPollution,0,2.0,,# #,1.19e+18,,,https://twitter.com/_mitesh1010/status/1191258904090406912,0.0,_mitesh1010,en,how is your city’s air impacting you? #oddeven #letsuniteagainstpollution,0,0.9986951947212219
252,04-11-2019 14:14,#letsuniteagainstpollution #oddeven how dare you india?,# LetsUniteAgainstPollution # OddEven how dare you india? pic.twitter.com/0f9C6vwEQP,0,2.0,,# #,1.19e+18,,,https://twitter.com/surendrrra/status/1191274945612877824,1.0,surendrrra,en,#letsuniteagainstpollution #oddeven how dare you india?,-1,0.8109277486801147
